InvoiceNo,DateKey,StockCode,CustomerID,Quantity,UnitPrice,SalesAmount
566225,20110911,22384,16899,6,1.65,9.899999999999999
566225,20110911,20725,16899,6,1.65,9.899999999999999
566225,20110911,23169,16899,3,4.15,12.450000000000001
566225,20110911,84029E,16899,3,4.25,12.75
566225,20110911,21479,16899,3,4.25,12.75
566225,20110911,82484,16899,2,7.95,15.9
566225,20110911,21976,16899,1,0.55,0.55
566225,20110911,84992,16899,1,0.55,0.55
566225,20110911,84991,16899,1,0.55,0.55
566225,20110911,84991,16899,1,0.55,0.55
566225,20110911,84725,16899,3,0.75,2.25
566226,20110911,22457,15605,6,2.95,17.700000000000003
566226,20110911,22513,15605,4,3.75,15
566226,20110911,21462,15605,2,6.75,13.5
566226,20110911,21181,15605,12,2.1,25.200000000000003
566226,20110911,22802,15605,1,19.95,19.95
566226,20110911,21485,15605,3,4.95,14.850000000000001
566226,20110911,23355,15605,4,4.95,19.8
566226,20110911,21706,15605,4,4.95,19.8
566226,20110911,21707,15605,4,4.95,19.8
566226,20110911,20682,15605,6,3.25,19.5
566226,20110911,20686,15605,6,3.25,19.5
566227,20110911,21930,14258,100,1.79,179
566227,20110911,22386,14258,100,1.79,179
566227,20110911,37450,14258,18,2.55,45.9
566227,20110911,21094,14258,96,0.64,61.44
566227,20110911,21429,14258,48,1.65,79.19999999999999
566227,20110911,15056BL,14258,60,4.95,297
566227,20110911,15056N,14258,60,4.95,297
566227,20110911,47590A,14258,12,5.45,65.4
566227,20110911,20974,14258,48,0.65,31.200000000000003
566227,20110911,20685,14258,10,7.08,70.8
566227,20110911,21080,14258,96,0.72,69.12
566227,20110911,48194,14258,10,7.08,70.8
566227,20110911,48185,14258,10,7.08,70.8
566227,20110911,82486,14258,12,8.15,97.80000000000001
566227,20110911,85066,14258,16,10.95,175.2
566227,20110911,82494L,14258,48,2.55,122.39999999999999
566228,20110911,23344,13408,100,1.79,179
566228,20110911,22866,13408,96,1.85,177.60000000000002
566228,20110911,22867,13408,96,1.85,177.60000000000002
566228,20110911,22632,13408,96,1.85,177.60000000000002
566228,20110911,22865,13408,96,1.85,177.60000000000002
566229,20110911,23418,13408,24,2.08,49.92
566229,20110911,23419,13408,24,2.08,49.92
566229,20110911,23394,13408,4,3.75,15
566229,20110911,23395,13408,4,3.75,15
566229,20110911,23412,13408,6,7.5,45
566230,20110911,23296,15159,16,1.25,20
566230,20110911,23294,15159,16,0.83,13.28
566230,20110911,23293,15159,16,0.83,13.28
566230,20110911,23295,15159,16,0.83,13.28
566230,20110911,84988,15159,12,1.45,17.4
566230,20110911,21974,15159,12,1.45,17.4
566230,20110911,21210,15159,12,1.45,17.4
566230,20110911,21212,15159,24,0.55,13.200000000000001
566230,20110911,84992,15159,24,0.55,13.200000000000001
566230,20110911,23309,15159,24,0.55,13.200000000000001
566230,20110911,84991,15159,24,0.55,13.200000000000001
566230,20110911,23315,15159,2,9.95,19.9
566230,20110911,23316,15159,2,9.95,19.9
566230,20110911,23317,15159,2,9.95,19.9
566230,20110911,22193,15159,2,8.5,17
566230,20110911,22191,15159,2,8.5,17
566230,20110911,22192,15159,2,8.5,17
